98110,9475,7183,2292,94,95,91,1.1,0,4.6,0.2,0.2,0.3,2.2,2.8,0.3,0,0,0,0.8,1,0.4,1.6,1,3.4,4.4,3.6,7.2,90.4,92.3,84.4,7.1,2,23.1,13.9,12.4,18.6,23.2,25,17.8,25.7,28.4
98112,10382,5774,4608,85.8,87.5,83.8,3.3,2.3,4.7,0.1,0,0.2,6.5,7.7,5,0,0,0,0.9,0.5,1.4,3.4,2.1,5,3.3,3.2,3.5,83.7,84.8,82.2,25.9,7.2,49.3,20,22,17.5,17.3,21.3,12.3,17,22.5
98115,21079,13189,7890,85.7,88.4,81.2,1.4,0.9,2.3,0.1,0.2,0,8.5,8.5,8.5,0,0,0,1,0.3,2,3.3,1.7,6,3,2.5,4,83.7,86.2,79.4,26.3,9.1,55,18.9,20.6,15.9,19.1,23.9,11.1,16.9,21.8
98116,11541,6466,5075,89,93.8,82.9,2.1,0.1,4.5,0.2,0,0.6,4.2,3.7,4.8,0.3,0,0.7,0.6,0.3,0.9,3.6,2.1,5.6,3.9,2.6,5.5,86.1,91.4,79.4,20,6.2,37.5,19.6,18.6,20.8,21.3,25,16.6,19.3,23.6
98117,13813,9643,4170,91.4,92.5,88.9,0.7,0.4,1.4,0.1,0.1,0,4,5.1,1.7,0.1,0,0.2,1,0.1,3.2,2.7,1.8,4.6,2.8,1.8,5.1,89.7,91,86.8,19.3,9.8,41.3,24,22.3,27.9,20.4,23.7,12.9,20.3,24.1
98118,16043,9056,6987,42.8,51.5,31.6,24.9,13.7,39.4,0.9,0.5,1.4,25.7,29.3,21,0.3,0.5,0.1,1.4,0.7,2.4,3.9,3.8,4.1,7.9,3.1,14.2,37.2,49.1,21.9,17.9,8.7,29.7,21.2,20.6,21.8,22.1,23.1,20.9,19.3,23
98119,11643,4727,6916,83.9,89.2,80.3,3.9,1.6,5.5,1.1,0,1.8,5.4,4.1,6.3,0,0,0,0.9,0.3,1.2,4.8,4.8,4.8,3.9,1.6,5.4,81.2,87.6,76.8,39.1,9.7,59.2,17.9,22.6,14.6,13.5,21.6,8,15.3,25.3
98121,9245,1854,7391,66.9,75,64.9,6.8,0.7,8.3,1.2,0,1.5,18.1,20.7,17.4,0,0,0,2.5,0.6,3,4.5,3.1,4.8,5.9,1.4,7,62.9,74.2,60,47.2,18.3,54.4,17.1,23.5,15.5,15,25.6,12.4,9.3,10.4
98122,16673,5538,11135,72,75.2,70.4,10.7,10.7,10.7,0.5,0.3,0.5,10.3,9.6,10.7,0.2,0.2,0.1,1.7,1.2,2,4.7,2.8,5.6,6.1,3.2,7.6,68.5,74,65.7,45.6,19.7,58.5,17.8,22.1,15.7,15.6,24,11.4,9.7,16.9
98125,17836,8389,9447,70.8,79.2,63.3,6.8,0.9,12.1,0.5,0.4,0.6,15,15,15.1,0.1,0,0.3,3.2,1.7,4.4,3.6,2.8,4.3,6,3.3,8.3,68.6,77.9,60.4,26.7,12.7,39.2,18.1,17.9,18.3,14.7,17.6,12.1,19.1,27.1
